epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,959.051,0.70055,0.54481,0.97404,0.92818,0.93333,0.93318,0.66392,1.04153,0.664,1.02915,0.0002576,0.0002576,0.0002576
90,965.895,0.71319,0.54877,0.97487,0.93381,0.96667,0.93194,0.66411,1.03768,0.64719,1.02574,0.0002378,0.0002378,0.0002378
91,993.849,0.64576,0.56657,0.9442,0.93481,0.96667,0.93126,0.66774,1.04377,0.64056,1.02408,0.000218,0.000218,0.000218
92,1002.33,0.63186,0.53731,0.93537,0.9353,0.96377,0.93126,0.66055,1.08019,0.64417,1.02183,0.0001982,0.0001982,0.0001982
93,1006.56,0.60959,0.49938,0.92329,0.93096,0.93333,0.9279,0.65902,1.07785,0.65066,1.01616,0.0001784,0.0001784,0.0001784
94,1010.64,0.62106,0.50259,0.90962,0.93129,0.93333,0.92708,0.67526,1.02863,0.65888,1.00474,0.0001586,0.0001586,0.0001586
95,1022.28,0.59929,0.51378,0.92368,0.93121,0.93333,0.92769,0.67517,1.01953,0.67302,1.00722,0.0001388,0.0001388,0.0001388
96,1034.44,0.59754,0.5002,0.90145,0.9313,0.93333,0.92851,0.67759,1.02564,0.68054,1.02012,0.000119,0.000119,0.000119
97,1046.26,0.58168,0.49051,0.89305,0.9352,0.96229,0.93126,0.67875,1.02602,0.67404,1.02313,9.92e-05,9.92e-05,9.92e-05
98,1058.44,0.60429,0.49742,0.91421,0.93545,0.96607,0.93387,0.68499,1.01824,0.67187,1.02275,7.94e-05,7.94e-05,7.94e-05
99,1069.65,0.58303,0.49464,0.91006,0.93537,0.96667,0.93194,0.68441,1.01539,0.66707,1.02037,5.96e-05,5.96e-05,5.96e-05
100,1074.19,0.58051,0.47897,0.90465,0.93403,0.96667,0.93194,0.67609,1.0126,0.66167,1.01835,3.98e-05,3.98e-05,3.98e-05
