epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,203.601,0.58788,0.78101,0.88147,0.98866,0.36364,0.50916,0.42137,0.97953,2.45678,0.92258,0.0003328,0.0003328,0.0003328
82,206.256,0.52865,0.76857,0.91695,0.98866,0.36364,0.50916,0.42137,0.97953,2.45678,0.92258,0.000320922,0.000320922,0.000320922
83,208.905,0.60445,0.81981,0.91654,0.98866,0.36364,0.50916,0.42137,0.97953,2.45678,0.92258,0.000308648,0.000308648,0.000308648
84,211.577,0.59415,0.83178,0.9226,0.99393,0.36364,0.56639,0.42056,1.03171,2.35015,0.93257,0.000295978,0.000295978,0.000295978
85,214.166,0.62822,0.81279,0.97306,0.99393,0.36364,0.56639,0.42056,1.03171,2.35015,0.93257,0.000282912,0.000282912,0.000282912
86,216.833,0.65624,0.89732,0.96892,0.99393,0.36364,0.56639,0.42056,1.03171,2.35015,0.93257,0.00026945,0.00026945,0.00026945
87,219.507,0.62176,0.7827,0.94155,0.99393,0.36364,0.56639,0.42056,1.03171,2.35015,0.93257,0.000255592,0.000255592,0.000255592
88,222.17,0.6277,0.82348,0.96639,1,0.34855,0.60685,0.44561,1.04928,2.25682,0.92575,0.000241338,0.000241338,0.000241338
89,224.807,0.54257,0.72613,0.88555,1,0.34855,0.60685,0.44561,1.04928,2.25682,0.92575,0.000226688,0.000226688,0.000226688
90,227.464,0.57143,0.76665,0.90325,1,0.34855,0.60685,0.44561,1.04928,2.25682,0.92575,0.000211642,0.000211642,0.000211642
91,234.962,0.49133,0.89427,0.88167,1,0.34855,0.60685,0.44561,1.04928,2.25682,0.92575,0.0001962,0.0001962,0.0001962
92,237.636,0.49499,0.87797,0.83826,0.66258,0.45455,0.63314,0.46709,1.0346,2.17441,0.90935,0.000180362,0.000180362,0.000180362
93,240.252,0.47686,0.90544,0.88413,0.66258,0.45455,0.63314,0.46709,1.0346,2.17441,0.90935,0.000164128,0.000164128,0.000164128
94,242.857,0.49225,0.84556,0.87065,0.66258,0.45455,0.63314,0.46709,1.0346,2.17441,0.90935,0.000147498,0.000147498,0.000147498
95,245.418,0.53067,0.87177,0.90422,0.66258,0.45455,0.63314,0.46709,1.0346,2.17441,0.90935,0.000130472,0.000130472,0.000130472
96,248.057,0.46525,0.86311,0.83994,0.70994,0.45455,0.70334,0.50891,1.0133,2.0984,0.89909,0.00011305,0.00011305,0.00011305
97,250.621,0.52879,0.90036,0.8791,0.70994,0.45455,0.70334,0.50891,1.0133,2.0984,0.89909,9.5232e-05,9.5232e-05,9.5232e-05
98,253.175,0.49232,0.84129,0.89269,0.70994,0.45455,0.70334,0.50891,1.0133,2.0984,0.89909,7.7018e-05,7.7018e-05,7.7018e-05
99,255.715,0.47992,0.89566,0.8543,0.70994,0.45455,0.70334,0.50891,1.0133,2.0984,0.89909,5.8408e-05,5.8408e-05,5.8408e-05
100,258.33,0.43491,0.78156,0.80937,0.83103,0.45455,0.76096,0.5571,1.00101,2.01249,0.89912,3.9402e-05,3.9402e-05,3.9402e-05
